soc_code,occ_title,emp_2024,emp_2034,pct_chg_2024_2034,openings_2024_2034,median_wage_2024,education_2024,emp_2021,emp_2031,pct_chg_2021_2031,openings_2021_2031,bls_merge,revision_pp,aioe_felten,gpts_dv_rating_alpha,gpts_dv_rating_beta,gpts_dv_rating_gamma,gpts_human_rating_alpha,gpts_human_rating_beta,gpts_human_rating_gamma,aei_observed_exposure,n_onet_tasks,mean_task_importance,aei_claude_usage_share,gpts_task_alpha_mean,gpts_task_beta_mean,gpts_task_gamma_mean
11-3021,Computer and information systems managers,667.1,768.7,15.2,55.6,171200.0,Bachelor's degree,509.1,591.5,16.2,48.5,both_vintages,-1.0,1.059853,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,0.1559,17.0,3.84,0.0785714579165105,0.11764705882352941,0.5294117647058824,0.9411764705882353
11-3031,Financial managers,868.6,997.4,14.8,74.6,161700.0,Bachelor's degree,730.8,854.0,16.8,71.3,both_vintages,-2.0,1.446232,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,0.3907,59.0,4.030677966101695,0.295284890862703,0.0,0.4830508474576271,0.9661016949152542
11-3051,Industrial production managers,241.9,246.5,1.9,17.1,121440.0,Bachelor's degree,203.8,210.9,3.5,15.4,both_vintages,-1.6,0.5086878,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,0.0132,116.0,3.909259259259259,0.020028018684600503,0.06896551724137931,0.40948275862068967,0.75
11-3061,Purchasing managers,83.5,86.1,3.1,6.4,139510.0,Bachelor's degree,72.8,75.6,3.8,6.3,both_vintages,-0.6999999999999997,1.423426,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,0.2004,18.0,4.051666666666667,0.0308123364378472,0.2222222222222222,0.5833333333333334,0.9444444444444444
11-3071,"Transportation, storage, and distribution managers",216.7,229.8,6.1,18.5,102010.0,High school diploma or equivalent,150.7,163.4,8.4,14.2,both_vintages,-2.3000000000000007,0.8907923,0.01785714285714285,0.486525974025974,0.9551948051948052,0.16201298701298694,0.47297077922077924,0.7839285714285713,0.0956,60.0,3.760892857142857,0.0516620174274569,0.016666666666666666,0.48333333333333334,0.95
11-3111,Compensation and benefits managers,20.9,20.9,0.2,1.5,140360.0,Bachelor's degree,15.7,15.9,1.5,1.2,both_vintages,-1.3,1.298235,0.131578947368421,0.513157894736842,0.894736842105263,0.1842105263157894,0.4605263157894737,0.7368421052631579,0.0,22.0,3.875,0.0228011289640069,0.09090909090909091,0.4772727272727273,0.8636363636363636
11-3121,Human resources managers,221.9,233.0,5.0,17.9,140030.0,Bachelor's degree,174.2,186.9,7.3,16.3,both_vintages,-2.3,1.320417,0.04,0.48,0.92,0.14,0.45,0.76,0.0,26.0,3.7569230769230773,0.016330538312058898,0.038461538461538464,0.4807692307692308,0.9230769230769231
11-3131,Training and development managers,46.4,49.2,5.8,3.8,127090.0,Bachelor's degree,38.1,40.9,7.5,3.7,both_vintages,-1.7000000000000002,1.284423,0.0909090909090909,0.5,0.9090909090909092,0.0454545454545454,0.4772727272727273,0.9090909090909092,0.3777,12.0,3.9616666666666664,0.0357423102679029,0.08333333333333333,0.5,0.9166666666666666
11-9013,"Farmers, ranchers, and other agricultural managers",836.1,825.0,-1.3,85.5,87980.0,High school diploma or equivalent,847.6,824.0,-2.8,85.6,both_vintages,1.4999999999999998,-0.1443684,0.0408163265306122,0.3673469387755101,0.6938775510204082,0.1020408163265306,0.2448979591836734,0.3877551020408163,0.0,30.0,3.8590000000000004,0.0076003763213355,0.03333333333333333,0.38333333333333336,0.7333333333333333
11-9021,Construction managers,550.3,598.4,8.7,46.8,106980.0,Bachelor's degree,478.5,514.9,7.6,41.5,both_vintages,1.0999999999999996,1.029139,0.0444444444444444,0.4444444444444445,0.8444444444444444,0.2,0.4,0.6,0.1186,25.0,3.8592,0.029990674132838,0.04,0.44,0.84
11-9031,"Education and childcare administrators, preschool and daycare",90.2,87.9,-2.5,5.5,56270.0,Bachelor's degree,74.6,80.8,8.3,6.4,both_vintages,-10.8,0.838007,0.0625,0.46875,0.875,0.28125,0.515625,0.75,0.0395,17.0,3.928235294117647,0.073641484086455,0.058823529411764705,0.47058823529411764,0.8823529411764706
11-9032,"Education administrators, kindergarten through secondary",333.3,328.1,-1.5,20.8,104070.0,Master's degree,292.2,306.5,4.9,23.5,both_vintages,-6.4,1.048811,0.0181818181818181,0.4181818181818181,0.8181818181818181,0.2727272727272727,0.4545454545454545,0.6363636363636364,0.0525,32.0,3.8796875,0.37981340049053197,0.03125,0.421875,0.8125
11-9033,"Education administrators, postsecondary",226.6,230.5,1.7,15.1,103960.0,Master's degree,210.1,225.6,7.4,17.6,both_vintages,-5.7,1.461149,0.024390243902439,0.4390243902439024,0.8536585365853658,0.3414634146341463,0.475609756097561,0.6097560975609756,0.0644,27.0,3.6974074074074075,0.033790862293505704,0.037037037037037035,0.46296296296296297,0.8888888888888888
11-9039,"Education administrators, all other",60.2,61.7,2.5,4.1,89040.0,Bachelor's degree,60.8,66.8,9.9,5.3,both_vintages,-7.4,0.3541265,,,,,,,,,,,,,
11-9041,Architectural and engineering managers,212.5,220.5,3.8,14.5,167740.0,Bachelor's degree,191.1,195.5,2.3,14.0,both_vintages,1.5,0.8370105,0.05172413793103445,0.4426108374384236,0.8334975369458129,0.0571428571428571,0.3307881773399014,0.6044334975369459,0.0306,37.0,3.4448648648648645,0.0878151588478648,0.08108108108108109,0.4594594594594595,0.8378378378378378
11-9051,Food service managers,352.8,375.3,6.4,42.0,65310.0,High school diploma or equivalent,329.1,361.4,9.8,45.0,both_vintages,-3.4000000000000004,-0.1213112,0.0625,0.4166666666666666,0.7708333333333333,0.1875,0.3958333333333333,0.6041666666666666,0.0,28.0,4.173928571428571,0.0099626554482372,0.07142857142857142,0.42857142857142855,0.7857142857142857
11-9071,Gambling managers,5.1,5.2,1.2,0.6,85580.0,High school diploma or equivalent,4.1,4.7,13.0,0.5,both_vintages,-11.8,0.8299207,0.3235294117647059,0.5735294117647058,0.8235294117647058,0.2647058823529412,0.4852941176470588,0.7058823529411764,0.0,19.0,4.254736842105263,0.0025676947031539,0.3157894736842105,0.5526315789473685,0.7894736842105263
11-9072,"Entertainment and recreation managers, except gambling",43.2,46.5,7.7,5.5,77180.0,Bachelor's degree,21.6,25.2,16.5,3.0,both_vintages,-8.8,,0.1764705882352941,0.3529411764705882,0.5294117647058824,0.2352941176470588,0.3823529411764705,0.5294117647058824,,17.0,3.998235294117647,0.0016433246100185,0.17647058823529413,0.35294117647058826,0.5294117647058824
11-9081,Lodging managers,52.0,53.8,3.4,5.4,68130.0,High school diploma or equivalent,51.2,60.4,18.0,7.1,both_vintages,-14.6,0.4021726,0.0434782608695652,0.4565217391304347,0.8695652173913043,0.2608695652173913,0.3804347826086956,0.5,0.1215,24.0,4.142083333333333,0.0067787140163263,0.041666666666666664,0.4583333333333333,0.875
11-9111,Medical and health services managers,616.2,759.1,23.2,62.1,117960.0,Bachelor's degree,480.7,616.9,28.3,56.6,both_vintages,-5.100000000000001,1.260259,0.0,0.4285714285714285,0.8571428571428571,0.1142857142857142,0.3714285714285714,0.6285714285714286,0.0659,18.0,3.9766666666666666,0.031942122107235,0.0,0.4166666666666667,0.8333333333333334
11-9121,Natural sciences managers,104.3,108.2,3.7,8.5,161180.0,Bachelor's degree,78.8,83.4,5.9,6.9,both_vintages,-2.2,1.327906,0.11155206467318907,0.5306967984934087,0.9498415323136283,0.24444903771071602,0.4865325432915346,0.7286160488723531,0.0613,70.0,3.775714285714286,0.0929505482541724,0.11428571428571428,0.5285714285714286,0.9428571428571428
11-9131,Postmasters and mail superintendents,13.1,12.7,-3.5,0.9,92730.0,High school diploma or equivalent,12.3,11.7,-4.8,0.9,both_vintages,1.2999999999999998,0.8233757,0.1428571428571428,0.5238095238095237,0.9047619047619048,0.238095238095238,0.4523809523809523,0.6666666666666666,0.0,13.0,4.1269230769230765,0.0155088760070498,0.15384615384615385,0.5,0.8461538461538461
11-9141,"Property, real estate, and community association managers",466.1,483.1,3.6,39.0,66700.0,High school diploma or equivalent,392.9,404.0,2.8,33.3,both_vintages,0.8000000000000003,1.215396,0.0,0.4431818181818182,0.8863636363636364,0.2045454545454545,0.4318181818181818,0.6590909090909091,0.1653,27.0,3.9722222222222223,0.0344071090222624,0.0,0.42592592592592593,0.8518518518518519
11-9151,Social and community service managers,219.8,233.9,6.4,18.6,78240.0,Bachelor's degree,173.7,194.1,11.7,18.0,both_vintages,-5.299999999999999,1.156153,0.0714285714285714,0.3928571428571428,0.7142857142857142,0.25,0.4464285714285714,0.6428571428571428,0.1808,16.0,3.915625,0.0199253108964746,0.0625,0.40625,0.75
11-9161,Emergency management directors,13.2,13.6,3.0,1.0,86130.0,Bachelor's degree,10.6,10.9,2.5,0.9,both_vintages,0.5,1.030768,0.0,0.4222222222222222,0.8444444444444444,0.4,0.6,0.8,0.0,23.0,3.8552173913043477,0.0053408049825601,0.0,0.41304347826086957,0.8260869565217391
11-9171,Funeral home managers,32.1,33.4,4.1,2.6,76830.0,Associate's degree,40.7,43.5,6.9,3.6,both_vintages,-2.8000000000000007,,0.1428571428571428,0.4285714285714285,0.7142857142857142,0.2857142857142857,0.5357142857142857,0.7857142857142857,0.0108,23.0,3.978695652173913,0.0552567900118727,0.13636363636363635,0.4318181818181818,0.7272727272727273
11-9179,"Personal service managers, all other",25.1,26.7,6.5,2.1,61340.0,High school diploma or equivalent,22.9,25.1,9.5,2.1,both_vintages,-3.0,,0.1625258799171842,0.45212215320910965,0.7417184265010353,0.1149068322981366,0.32531055900621114,0.5357142857142857,0.1244,45.0,3.945333333333333,0.4652662802114953,0.15555555555555556,0.4444444444444444,0.7333333333333333
11-9199,"Managers, all other",1333.7,1393.5,4.5,106.7,136550.0,Bachelor's degree,1305.8,1384.3,6.0,113.1,both_vintages,-1.5,0.9646872,0.07127778059052736,0.4912673640410586,0.9112569474915899,0.2181640386209276,0.46549102404713416,0.7128180094733407,0.0686,137.0,3.8275182481751826,0.0752848086964734,0.072992700729927,0.4927007299270073,0.9124087591240876
13-1011,"Agents and business managers of artists, performers, and athletes",21.4,23.2,8.7,2.2,96310.0,Bachelor's degree,22.6,25.7,13.8,2.8,both_vintages,-5.100000000000001,1.068559,0.1739130434782608,0.5434782608695652,0.9130434782608696,0.3043478260869565,0.3695652173913043,0.4347826086956521,0.118,14.0,3.7214285714285715,0.0589542703844145,0.14285714285714285,0.5357142857142857,0.9285714285714286
13-1020,Buyers and purchasing agents,522.2,552.3,5.8,52.2,75650.0,Bachelor's degree,459.8,427.5,-7.0,41.0,both_vintages,12.8,,,,,,,,,,,,,,
13-1031,"Claims adjusters, examiners, and investigators",356.1,337.9,-5.1,21.1,76790.0,High school diploma or equivalent,314.3,295.9,-5.8,22.3,both_vintages,0.7000000000000002,1.274024,0.08,0.52,0.96,0.18,0.49,0.8,0.0818,29.0,4.271481481481481,0.0137628436089051,0.10344827586206896,0.5344827586206896,0.9655172413793104
13-1032,"Insurance appraisers, auto damage",9.2,8.4,-8.2,0.5,76650.0,Postsecondary nondegree award,13.2,12.5,-5.3,0.9,both_vintages,-2.8999999999999995,0.6634955,0.0,0.5,1.0,0.1428571428571428,0.5,0.8571428571428571,0.0,7.0,4.428571428571429,0.0074976685332095,0.0,0.5,1.0
13-1041,Compliance officers,418.0,430.3,3.0,33.3,78420.0,Bachelor's degree,354.0,369.1,4.3,30.2,both_vintages,-1.2999999999999998,0.6981205,0.2342960489763113,0.5263042749310427,0.8183125008857741,0.3373490296220364,0.5265367802901109,0.7157245309581854,0.1211,146.0,4.039295774647887,0.1890850379402557,0.2191780821917808,0.5205479452054794,0.821917808219178
13-1051,Cost estimators,221.4,212.1,-4.2,16.9,77070.0,Bachelor's degree,212.1,207.7,-2.1,18.5,both_vintages,-2.1,1.367669,0.0,0.5,1.0,0.1538461538461538,0.4807692307692308,0.8076923076923077,0.0,14.0,3.869285714285714,0.010578902176994101,0.0,0.5,1.0
13-1071,Human resources specialists,944.3,1002.7,6.2,81.8,72910.0,Bachelor's degree,782.8,841.6,7.5,81.9,both_vintages,-1.2999999999999998,1.36005,0.3333333333333333,0.6444444444444445,0.9555555555555556,0.3777777777777777,0.5888888888888889,0.8,0.4034,26.0,4.067692307692308,0.0770308410946178,0.3076923076923077,0.6346153846153846,0.9615384615384616
13-1074,Farm labor contractors,3.9,4.2,6.0,0.3,48690.0,No formal educational credential,1.2,1.5,22.3,0.2,both_vintages,-16.3,-0.4354025,0.0,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0,0.0,7.0,4.227142857142857,0.0,0.0,0.14285714285714285,0.2857142857142857
13-1075,Labor relations specialists,65.4,65.4,-0.1,5.1,93500.0,Bachelor's degree,65.0,63.3,-2.6,5.8,both_vintages,2.5,1.334834,0.1698113207547169,0.5471698113207547,0.9245283018867924,0.1132075471698113,0.4433962264150943,0.7735849056603773,0.0,28.0,3.6592857142857143,0.0297852585565856,0.17857142857142858,0.5535714285714286,0.9285714285714286
13-1081,Logisticians,241.0,281.3,16.7,26.4,80880.0,Bachelor's degree,195.0,249.1,27.7,24.8,both_vintages,-11.0,1.297303,0.08602409396848325,0.5278605318327264,0.9696969696969697,0.35057626914627904,0.5965664590292197,0.8425566489121602,0.1571,83.0,3.713855421686747,0.2097293033536134,0.08433734939759036,0.5301204819277109,0.9759036144578314
13-1082,Project management specialists,1046.3,1105.0,5.6,78.2,100750.0,Bachelor's degree,781.4,837.6,7.2,70.4,both_vintages,-1.6000000000000005,,0.1,0.55,1.0,0.05,0.4,0.75,,20.0,,0.0040056037369200995,0.1,0.55,1.0
13-1111,Management analysts,1075.1,1169.7,8.8,98.1,101190.0,Bachelor's degree,950.6,1059.0,11.4,101.9,both_vintages,-2.5999999999999996,1.432417,0.0952380952380952,0.4047619047619047,0.7142857142857142,0.1904761904761904,0.5,0.8095238095238095,0.2435,11.0,3.950909090909091,0.036563972572911996,0.09090909090909091,0.4090909090909091,0.7272727272727273
13-1121,"Meeting, convention, and event planners",155.8,163.3,4.8,15.5,59440.0,Bachelor's degree,128.2,151.1,17.8,16.6,both_vintages,-13.0,0.3740207,0.1081081081081081,0.4864864864864865,0.8648648648648649,0.081081081081081,0.3648648648648649,0.6486486486486487,0.1023,21.0,3.958571428571428,0.0445751800467524,0.09523809523809523,0.47619047619047616,0.8571428571428571
13-1131,Fundraisers,134.4,140.2,4.3,10.2,66490.0,Bachelor's degree,105.8,117.6,11.2,11.4,both_vintages,-6.8999999999999995,1.242567,0.1538461538461538,0.5192307692307693,0.8846153846153847,0.25,0.4903846153846154,0.7307692307692308,0.0466,28.0,3.7889285714285714,0.1281793195814449,0.14285714285714285,0.5,0.8571428571428571
13-1141,"Compensation, benefits, and job analysis specialists",107.0,112.7,5.3,8.5,77020.0,Bachelor's degree,100.6,107.2,6.6,9.3,both_vintages,-1.2999999999999998,1.440985,0.0789473684210526,0.4736842105263157,0.8684210526315789,0.3157894736842105,0.4736842105263157,0.631578947368421,0.0649,22.0,3.433636363636364,0.2809058005250419,0.09523809523809523,0.5,0.9047619047619048
13-1151,Training and development specialists,452.3,501.0,10.8,43.9,65850.0,Bachelor's degree,354.8,383.7,8.1,36.5,both_vintages,2.700000000000001,1.198409,0.1052631578947368,0.5526315789473684,1.0,0.4210526315789473,0.5921052631578947,0.763157894736842,0.2793,20.0,3.8549999999999995,0.0232119601165115,0.1,0.55,1.0
13-1161,Market research analysts and marketing specialists,941.7,1004.7,6.7,87.2,76950.0,Bachelor's degree,792.5,942.8,19.0,99.8,both_vintages,-12.3,1.426757,0.04918032786885245,0.5245901639344263,1.0,0.12358133669609075,0.5425598991172762,0.9615384615384617,0.6483,49.0,3.641020408163265,0.604743456486817,0.08163265306122448,0.5408163265306123,1.0
13-1199,"Business operations specialists, all other",1205.7,1242.0,3.0,108.2,81270.0,Bachelor's degree,1133.0,1190.0,5.0,114.2,both_vintages,-2.0,1.047687,0.22415229667396264,0.5828407660281357,0.9415292353823088,0.2661182474964608,0.5379899336046262,0.8098616197127917,0.1846,92.0,3.909347826086957,0.5447621082211402,0.25,0.592391304347826,0.9347826086956522
13-2011,Accountants and auditors,1579.8,1652.6,4.6,124.2,81680.0,Bachelor's degree,1449.8,1531.6,5.6,136.4,both_vintages,-1.0,1.481956,0.12,0.56,1.0,0.2,0.52,0.84,0.3478,29.0,4.1476,0.2157890628530578,0.10344827586206896,0.5517241379310345,1.0
13-2020,Property appraisers and assessors,77.3,80.2,3.8,6.3,65420.0,Bachelor's degree,76.1,79.2,4.0,6.8,both_vintages,-0.20000000000000018,,,,,,,,,,,,,,
13-2031,Budget analysts,50.4,51.0,1.0,3.1,87930.0,Bachelor's degree,50.4,51.8,2.8,4.0,both_vintages,-1.7999999999999998,1.502988,0.08,0.52,0.96,0.32,0.64,0.96,0.0672,13.0,3.9676923076923076,0.0254715314552868,0.07692307692307693,0.5,0.9230769230769231
13-2041,Credit analysts,67.8,64.8,-4.4,3.7,80970.0,Bachelor's degree,69.9,68.2,-2.5,5.4,both_vintages,-1.9000000000000004,1.345268,0.1111111111111111,0.5555555555555556,1.0,0.2222222222222222,0.5555555555555556,0.8888888888888888,0.1685,11.0,4.0627272727272725,0.005957051711317,0.09090909090909091,0.5454545454545454,1.0
13-2051,Financial and investment analysts,368.5,389.6,5.7,25.1,101350.0,Bachelor's degree,317.3,344.6,8.6,26.9,both_vintages,-2.8999999999999995,1.380615,0.0,0.4615384615384615,0.9230769230769232,0.1538461538461538,0.5,0.8461538461538463,0.5716,26.0,,0.3443792135870072,0.0,0.46153846153846156,0.9230769230769231
13-2052,Personal financial advisors,326.0,357.2,9.6,24.1,102140.0,Bachelor's degree,330.3,381.2,15.4,30.5,both_vintages,-5.800000000000001,1.400749,0.0526315789473684,0.5,0.9473684210526316,0.3947368421052631,0.6710526315789473,0.9473684210526316,0.3504,21.0,3.8352380952380956,0.19997206348162921,0.047619047619047616,0.5,0.9523809523809523
13-2053,Insurance underwriters,127.0,123.7,-2.6,8.2,79880.0,Bachelor's degree,123.3,117.8,-4.5,8.4,both_vintages,1.9,1.326652,0.1428571428571428,0.5714285714285714,1.0,0.1428571428571428,0.5,0.8571428571428571,0.0625,7.0,4.197142857142857,0.0085247464144711,0.14285714285714285,0.5714285714285714,1.0
13-2054,Financial risk specialists,60.5,64.4,6.5,4.8,106000.0,Bachelor's degree,56.5,61.1,8.1,5.1,both_vintages,-1.5999999999999996,,0.0666666666666666,0.5333333333333333,1.0,0.2333333333333333,0.5833333333333334,0.9333333333333332,0.2649,30.0,,0.2130159525736512,0.06666666666666667,0.5333333333333333,1.0
13-2061,Financial examiners,65.1,77.2,18.5,5.7,90400.0,Bachelor's degree,62.8,76.0,21.0,6.8,both_vintages,-2.5,1.526064,0.0606060606060606,0.5,0.9393939393939394,0.303030303030303,0.5757575757575758,0.8484848484848485,0.0428,17.0,3.918823529411765,0.048888907148051094,0.058823529411764705,0.5,0.9411764705882353
13-2071,Credit counselors,31.8,32.9,3.3,2.2,50480.0,Bachelor's degree,35.3,38.5,9.3,3.2,both_vintages,-6.000000000000001,1.385381,0.2727272727272727,0.625,0.9772727272727272,0.4545454545454546,0.6931818181818182,0.931818181818182,0.2341,23.0,4.326086956521739,0.3398600709094567,0.2608695652173913,0.6086956521739131,0.9565217391304348
13-2072,Loan officers,301.4,306.5,1.7,20.3,74180.0,Bachelor's degree,354.6,367.1,3.5,29.4,both_vintages,-1.8,1.385739,0.2045454545454545,0.5909090909090909,0.9772727272727272,0.3409090909090909,0.6477272727272727,0.9545454545454546,0.1857,30.0,3.988235294117647,0.1632026753324645,0.2,0.5833333333333334,0.9666666666666667
13-2081,"Tax examiners and collectors, and revenue agents",57.6,56.5,-1.8,4.3,59740.0,Bachelor's degree,55.3,51.6,-6.7,4.3,both_vintages,4.9,1.36682,0.1935483870967742,0.5806451612903225,0.967741935483871,0.4516129032258064,0.6774193548387096,0.9032258064516128,0.0275,21.0,4.215714285714286,0.030196089709090303,0.19047619047619047,0.5714285714285714,0.9523809523809523
13-2082,Tax preparers,90.6,94.7,4.5,10.4,50560.0,High school diploma or equivalent,107.9,112.1,3.9,13.0,both_vintages,0.6000000000000001,1.29371,0.25,0.625,1.0,0.25,0.625,1.0,0.1283,12.0,4.360833333333333,0.11821666413320758,0.25,0.625,1.0
13-2099,"Financial specialists, all other",137.1,141.4,3.1,10.3,80190.0,Bachelor's degree,131.1,138.7,5.8,11.4,both_vintages,-2.6999999999999997,1.361362,0.23464373464373464,0.5832309582309583,0.9318181818181819,0.25307125307125306,0.5924447174447174,0.9318181818181819,0.2202,44.0,3.774090909090909,0.3182914354029627,0.20454545454545456,0.5568181818181818,0.9090909090909091
15-1211,Computer systems analysts,521.1,566.5,8.7,34.2,103790.0,Bachelor's degree,538.8,589.7,9.4,44.5,both_vintages,-0.7000000000000011,,0.29411764705882354,0.6174242424242424,0.9407308377896613,0.2406417112299465,0.553475935828877,0.8663101604278075,0.2763,39.0,3.7064102564102566,1.7094684255717736,0.3157894736842105,0.618421052631579,0.9210526315789473
15-1212,Information security analysts,182.8,234.9,28.5,16.0,124910.0,Bachelor's degree,163.0,219.5,34.7,19.5,both_vintages,-6.200000000000003,,0.3478260869565217,0.6521739130434783,0.9565217391304348,0.0869565217391304,0.5434782608695652,1.0,0.4859,11.0,4.047272727272728,0.1576564547736522,0.36363636363636365,0.6818181818181818,1.0
15-1221,Computer and information research scientists,40.3,48.3,19.7,3.2,140910.0,Master's degree,33.5,40.6,21.3,3.3,both_vintages,-1.6000000000000014,,0.3846153846153846,0.6346153846153847,0.8846153846153847,0.2307692307692307,0.5,0.7692307692307693,0.3404,15.0,3.4686666666666666,0.9757239871985008,0.3333333333333333,0.6,0.8666666666666667
15-1231,Computer network support specialists,152.7,155.5,1.8,9.6,73340.0,Associate's degree,185.5,199.2,7.4,16.1,both_vintages,-5.6000000000000005,,0.4615384615384615,0.6346153846153847,0.8076923076923077,0.2307692307692307,0.5384615384615385,0.8461538461538463,0.2867,26.0,3.7973076923076925,0.2571803014678992,0.46153846153846156,0.6346153846153846,0.8076923076923077
15-1232,Computer user support specialists,729.5,702.5,-3.7,40.8,60340.0,"Some college, no degree",690.2,732.9,6.2,58.9,both_vintages,-9.9,,0.4444444444444444,0.611111111111111,0.7777777777777777,0.4814814814814814,0.6666666666666666,0.8518518518518519,0.4685,16.0,3.469375,0.1229412223870108,0.4375,0.59375,0.75
15-1241,Computer network architects,179.2,200.6,11.9,11.2,130390.0,Bachelor's degree,174.8,182.3,4.3,11.8,both_vintages,7.6000000000000005,,0.3548869680851064,0.6352227393617021,0.9155585106382979,0.2292220744680851,0.5433011968085106,0.8573803191489362,0.1987,59.0,3.7157627118644068,0.2596452883829263,0.3728813559322034,0.6440677966101694,0.9152542372881356
15-1242,Database administrators,78.0,77.5,-0.7,3.8,104620.0,Bachelor's degree,91.8,99.2,8.1,7.2,both_vintages,-8.799999999999999,,0.8709677419354839,0.935483870967742,1.0,0.2903225806451612,0.5967741935483871,0.9032258064516128,0.3315,18.0,3.373333333333333,0.7006725305966498,0.875,0.9375,1.0
15-1243,Database architects,66.9,72.7,8.7,4.0,135980.0,Bachelor's degree,52.7,58.1,10.3,4.3,both_vintages,-1.6000000000000014,,0.8224932249322493,0.9112466124661247,1.0,0.3163956639566395,0.6460027100271002,0.975609756097561,0.5787,43.0,3.808604651162791,1.616723292893852,0.7857142857142857,0.8928571428571429,1.0
15-1244,Network and computer systems administrators,331.5,317.7,-4.2,14.3,96800.0,Bachelor's degree,333.2,344.5,3.4,23.9,both_vintages,-7.6,,0.5405405405405406,0.7297297297297298,0.918918918918919,0.1621621621621621,0.5135135135135136,0.8648648648648649,0.3373,20.0,3.5725000000000002,2.975444622014798,0.5,0.7,0.9
